Gmt time,Ask,Bid,AskVolume,BidVolume,VolDiff
2021-08-26 19:59:00,4471.2741428571435,4470.8492857142855,12169.999499999998,15749.999299999996,-3579.999799999998
2021-08-26 19:59:01,4471.182000000001,4470.74875,7209.999699999999,9889.9996,-2679.9999
2021-08-26 19:59:02,4470.8265,4470.3525,4499.9998,5389.9998,-890.0
2021-08-26 19:59:03,4471.101,4470.639,2249.9999,2249.9999,0.0
2021-08-26 19:59:05,4470.953,4470.453,6749.999699999999,6749.999699999999,0.0
2021-08-26 19:59:06,4470.867,4470.354,2249.9999,3139.9999,-890.0
2021-08-26 19:59:07,4470.919000000001,4470.442,6749.999699999999,7639.999699999999,-890.0
2021-08-26 19:59:11,4470.978,4470.483,4499.9998,5389.9998,-890.0
2021-08-26 19:59:14,4470.851500000001,4470.549000000001,2709.9999,4499.9998,-1789.9998999999998
2021-08-26 19:59:15,4470.629,4470.2495,2709.9999,4499.9998,-1789.9998999999998
2021-08-26 19:59:17,4470.941,4470.441,6749.999699999999,7639.999699999999,-890.0
2021-08-26 19:59:18,4470.8515,4470.516,2709.9999,4499.9998,-1789.9998999999998
2021-08-26 19:59:20,4470.508,4469.995000000001,4499.9998,4499.9998,0.0
2021-08-26 19:59:21,4470.658,4470.133,2249.9999,2249.9999,0.0
2021-08-26 19:59:24,4470.3625,4469.845,4499.9998,5389.9998,-890.0
2021-08-26 19:59:25,4470.60725,4470.199250000001,7209.999699999999,9889.9996,-2679.9999
2021-08-26 19:59:26,4470.761,4470.2495,4499.9998,4499.9998,0.0
2021-08-26 19:59:27,4470.6082,4470.147999999999,9459.9996,12139.999499999998,-2679.999899999999
2021-08-26 19:59:30,4470.905000000001,4470.49125,7209.999699999999,8999.9996,-1789.9998999999998
2021-08-26 19:59:32,4470.661,4470.151,2249.9999,2249.9999,0.0
2021-08-26 19:59:33,4470.755999999999,4470.342000000001,2709.9999,4499.9998,-1789.9998999999998
2021-08-26 19:59:34,4470.664000000001,4470.154,2249.9999,2249.9999,0.0
2021-08-26 19:59:35,4470.43275,4469.987499999999,7209.999699999999,9889.9996,-2679.9999
2021-08-26 19:59:37,4470.554999999999,4470.0766,9459.9996,10779.9996,-1320.0
2021-08-26 19:59:38,4470.729,4470.345,2709.9999,4499.9998,-1789.9998999999998
2021-08-26 19:59:39,4470.9735,4470.486,4499.9998,4499.9998,0.0
2021-08-26 19:59:40,4471.244250000001,4470.7905,7209.999699999999,8999.9996,-1789.9998999999998
2021-08-26 19:59:41,4471.165500000001,4470.675,4499.9998,5389.9998,-890.0
2021-08-26 19:59:42,4471.37775,4470.8655,8999.9996,10779.9996,-1780.0
2021-08-26 19:59:43,4471.112999999999,4470.669199999999,9459.9996,12139.999499999998,-2679.999899999999
2021-08-26 19:59:44,4471.46,4470.944,6749.999699999999,7639.999699999999,-890.0
2021-08-26 19:59:45,4471.2283333333335,4470.7953333333335,4959.9998,6749.999699999999,-1789.9998999999998
2021-08-26 19:59:46,4471.478,4470.998,4499.9998,5389.9998,-890.0
2021-08-26 19:59:47,4471.2226666666675,4470.725666666666,6749.999699999999,7639.999699999999,-890.0
2021-08-26 19:59:48,4471.056750000001,4470.4935,5569.9998,9889.9996,-4319.9998
2021-08-26 19:59:49,4471.219666666667,4470.712666666667,6749.999699999999,7639.999699999999,-890.0
2021-08-26 19:59:50,4471.05725,4470.5405,8999.9996,9889.9996,-890.0
2021-08-26 19:59:51,4470.961,4470.45,6749.999699999999,6749.999699999999,0.0
2021-08-26 19:59:52,4470.653,4470.2765,2709.9999,4499.9998,-1789.9998999999998
2021-08-26 19:59:53,4470.617249999999,4470.11175,8999.9996,9889.9996,-890.0
2021-08-26 19:59:54,4470.511,4470.0265,4499.9998,5389.9998,-890.0
2021-08-26 19:59:55,4470.863,4470.365000000001,6749.999699999999,6749.999699999999,0.0
2021-08-26 19:59:56,4470.7635,4470.354,2709.9999,4499.9998,-1789.9998999999998
2021-08-26 19:59:57,4470.507750000001,4470.069750000001,7209.999699999999,9889.9996,-2679.9999
2021-08-26 19:59:58,4470.5997,4470.075000000001,19069.999199999995,25169.998999999993,-6099.999799999998
2021-08-26 19:59:59,4470.2912857142865,4469.787571428571,13959.999399999997,15279.999399999997,-1320.0
2021-08-26 20:00:00,4470.6715,4470.0745,14419.999399999997,18889.999199999995,-4469.999799999998
2021-08-26 20:00:01,4471.028444444445,4470.4927777777775,14879.999399999997,21139.999099999994,-6259.999699999997
2021-08-26 20:00:02,4471.293142857144,4470.715857142857,10379.9996,15749.999299999996,-5369.999699999997
2021-08-26 20:00:03,4470.7605,4470.1404999999995,2709.9999,4499.9998,-1789.9998999999998
2021-08-26 20:00:04,4470.861,4470.137500000001,4499.9998,5389.9998,-890.0
2021-08-26 20:00:05,4470.60475,4469.977000000001,14419.999399999997,18889.999199999995,-4469.999799999998
2021-08-26 20:00:08,4470.967000000001,4470.254,2249.9999,2249.9999,0.0
2021-08-26 20:00:09,4471.049666666667,4470.441,4959.9998,6749.999699999999,-1789.9998999999998
2021-08-26 20:00:10,4470.792,4470.15625,7209.999699999999,9889.9996,-2679.9999
2021-08-26 20:00:12,4471.1140000000005,4470.3905,4499.9998,4499.9998,0.0
2021-08-26 20:00:13,4471.0563999999995,4470.359600000001,11249.999499999998,13029.999499999998,-1780.0
2021-08-26 20:00:14,4471.311000000001,4470.745,3169.9999,6749.999699999999,-3579.9997999999996
2021-08-26 20:00:15,4471.246,4470.545,2249.9999,2249.9999,0.0
2021-08-26 20:00:17,4470.959000000001,4470.392,2709.9999,4499.9998,-1789.9998999999998
2021-08-26 20:00:18,4470.7515,4470.1494999999995,2709.9999,4499.9998,-1789.9998999999998
2021-08-26 20:00:19,4470.8535,4470.139,4499.9998,5389.9998,-890.0
2021-08-26 20:00:23,4470.761,4470.048,2249.9999,2249.9999,0.0
2021-08-26 20:00:24,4470.996999999999,4470.484,4959.9998,6749.999699999999,-1789.9998999999998
2021-08-26 20:00:25,4470.746,4470.033,2249.9999,2249.9999,0.0
2021-08-26 20:00:27,4471.0380000000005,4470.384,6749.999699999999,7639.999699999999,-890.0
2021-08-26 20:00:29,4471.248,4470.799,460.0,2249.9999,-1789.9998999999998
2021-08-26 20:00:30,4471.461,4470.799,2249.9999,2249.9999,0.0
2021-08-26 20:00:31,4471.3102499999995,4470.5965,8999.9996,9889.9996,-890.0
2021-08-26 20:00:32,4471.351500000001,4470.739,2709.9999,4499.9998,-1789.9998999999998
2021-08-26 20:00:35,4471.758,4471.042,2249.9999,2249.9999,0.0
2021-08-26 20:00:36,4472.246,4471.542,2249.9999,2249.9999,0.0
2021-08-26 20:00:37,4472.452,4471.754,2249.9999,2249.9999,0.0
2021-08-26 20:00:40,4472.3223333333335,4471.700333333333,4959.9998,6749.999699999999,-1789.9998999999998
2021-08-26 20:00:42,4472.261,4471.5765,4499.9998,5389.9998,-890.0
2021-08-26 20:00:43,4471.952,4471.299,2249.9999,2249.9999,0.0
2021-08-26 20:00:44,4471.759,4471.148,2709.9999,4499.9998,-1789.9998999999998
2021-08-26 20:00:45,4471.991999999999,4471.362,4959.9998,6749.999699999999,-1789.9998999999998
2021-08-26 20:00:46,4472.452,4471.799,2249.9999,2249.9999,0.0
2021-08-26 20:00:47,4472.317666666667,4471.632666666667,6749.999699999999,6749.999699999999,0.0
2021-08-26 20:00:57,4472.455,4471.799,2249.9999,2249.9999,0.0
